-183.577, 77.922, 1.891,  1.765
-183.569, 77.860, 1.896,  1.798
-183.561, 77.797, 1.902,  1.831
-183.553, 77.734, 1.907,  1.864
-183.545, 77.671, 1.912,  1.897
-183.536, 77.607, 1.917,  1.930
-183.528, 77.544, 1.923,  1.963
-183.519, 77.480, 1.928,  1.996
-183.511, 77.417, 1.933,  2.029
-183.502, 77.353, 1.937,  2.062
-183.493, 77.288, 1.941,  2.095
-183.484, 77.224, 1.946,  2.128
-183.475, 77.160, 1.951,  2.161
-183.466, 77.095, 1.956,  2.194
-183.457, 77.031, 1.961,  2.227
-183.448, 76.966, 1.965,  2.260
-183.438, 76.901, 1.970,  2.293
-183.429, 76.836, 1.974,  2.326
-183.419, 76.771, 1.979,  2.359
-183.410, 76.705, 1.984,  2.392
-183.400, 76.640, 1.988,  2.425
-183.391, 76.574, 1.993,  2.458
-183.381, 76.508, 1.998,  2.491
-183.371, 76.442, 2.003,  2.524
-183.361, 76.376, 2.007,  2.557
-183.351, 76.310, 2.012,  2.590
-183.341, 76.243, 2.017,  2.623
-183.331, 76.177, 2.022,  2.656
-183.320, 76.110, 2.027,  2.689
-183.310, 76.043, 2.032,  2.722
-183.300, 75.976, 2.037,  2.755
-183.289, 75.909, 2.041,  2.788
-183.279, 75.841, 2.047,  2.821
-183.268, 75.774, 2.052,  2.854
-183.257, 75.706, 2.058,  2.887
-183.247, 75.638, 2.062,  2.920
-183.236, 75.570, 2.067,  2.953
-183.225, 75.502, 2.072,  2.986
-183.214, 75.433, 2.078,  3.019
-183.203, 75.365, 2.083,  3.052
-183.192, 75.296, 2.089,  3.085
-183.181, 75.227, 2.094,  3.118
-183.170, 75.158, 2.100,  3.151
-183.159, 75.089, 2.105,  3.184
-183.148, 75.020, 2.111,  3.217
-183.137, 74.950, 2.116,  3.250
-183.125, 74.880, 2.122,  3.283
-183.114, 74.810, 2.128,  3.316
-183.102, 74.740, 2.133,  3.349
-183.091, 74.670, 2.139,  3.382
-183.080, 74.599, 2.145,  3.415
